Threshold,Strategy,Net_Benefit,TP,FP,TN,FN,PPV,NNT,Unnecessary_Treatments_Avoided
0.17,Global Predictor (Q1),0.3018226753166512,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.17,CD274 (PD-L1+),0.3018226753166512,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.17,High TMB,0.3018226753166512,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.18000000000000002,Treat None,0.0,0,0,113,82,,,113
0.18000000000000002,Treat All,0.2933083176985616,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.18000000000000002,Phenotype-Stratified (Q5),0.309068167604753,82,99,14,0,0.4530386740331492,2.2073170731707314,14
0.18000000000000002,Global Predictor (Q1),0.2933083176985616,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.18000000000000002,CD274 (PD-L1+),0.2933083176985616,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.18000000000000002,High TMB,0.2933083176985616,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.19,Treat None,0.0,0,0,113,82,,,113
0.19,Treat All,0.28458372902817347,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.19,Phenotype-Stratified (Q5),0.3038303260525483,82,97,16,0,0.4581005586592179,2.1829268292682924,16
0.19,Global Predictor (Q1),0.2857866413421969,82,112,1,0,0.422680412371134,2.3658536585365852,1
0.19,CD274 (PD-L1+),0.28458372902817347,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.19,High TMB,0.28458372902817347,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.2,Treat None,0.0,0,0,113,82,,,113
0.2,Treat All,0.27564102564102566,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.2,Phenotype-Stratified (Q5),0.3,82,94,19,0,0.4659090909090909,2.1463414634146343,19
0.2,Global Predictor (Q1),0.2833333333333333,82,107,6,0,0.43386243386243384,2.304878048780488,6
0.2,CD274 (PD-L1+),0.27564102564102566,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.2,High TMB,0.27564102564102566,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.21000000000000002,Treat None,0.0,0,0,113,82,,,113
0.21000000000000002,Treat All,0.26647192469977277,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.21000000000000002,Phenotype-Stratified (Q5),0.2991885751379422,82,89,24,0,0.47953216374269003,2.0853658536585367,24
0.21000000000000002,Global Predictor (Q1),0.2773774748458293,82,105,8,0,0.4385026737967914,2.280487804878049,8
0.21000000000000002,CD274 (PD-L1+),0.26647192469977277,82,113,0,0,0.4205128205128205,2.3780487804878048,0
